Dataset,Sample_ID,Dataset_type,Date,Latitude,Longitude,Depth,Filter_fraction,SAR11,Growth_measure,Copiotrophs,Phototrophs,Estimate,Temperature,Phosphate,Nitrate,Ammonium,Chlorophyll,DOC,DIC,POC,Nitrite,Nitrate_Nitrite,Salinity,Oxygen,pH,Nitrogen_dioxide,Silicate,Day_lenght,Insolation,Chlorophyll_bis,SAR11_RA,CN1_RA
SOLA,6/9/08_Med,time,6/9/08,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.132949756,17.76,0.03,0.01,0.05,0.65,,,,,,37.004,5.92,8.15,0.03,0.71,15.23,,,0.07823348,0.194321871
SOLA,7/15/08_Med,time,7/15/08,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.111182109,21.24,0.03,0.12,0.05,0.11,,,,,,37.623,5.74,8.1,0.03,1.29,14.97,,,0.6780326,0.735488885
SOLA,8/18/08_Med,time,8/18/08,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.095396484,21.42,0.03,0.12,0.05,0.05,,,,,,37.884,5.79,8.13,0.03,0.67,13.73,,,0.801444726,0.83729852
SOLA,9/10/08_Med,time,9/10/08,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.098051679,19.21,0.04,0.21,0.23,0.39,,,,,,37.522,5.75,8.06,0.04,1.28,12.47,,,0.786492811,0.822717515
SOLA,10/8/08_Med,time,10/8/08,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.099730801,17.56,0.02,0.19,0.09,0.28,,,,,,37.509,6.01,8.18,0.03,1.45,11.47,,,0.766066635,0.805947876
SOLA,11/12/08_Med,time,11/12/08,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.085170561,16.23,0.02,0.52,1.19,0.41,,,,,,37.95,5.75,8.29,0.13,1.63,10.2,,,0.928987065,0.94201903
SOLA,1/5/09_Med,time,1/5/09,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.090710416,11.05,0.07,5.73,0.11,1.07,,,,,,36.385,5.94,8.24,0.8,6.27,9.2,,,0.85253546,0.864457157
SOLA,2/9/09_Med,time,2/9/09,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.094225977,10.56,0.03,3.31,0.37,1.03,,,,,,36.881,6.31,8.21,0.29,3.29,10.33,,,0.783401941,0.804547424
SOLA,2/23/09_Med,time,2/23/09,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.102209126,11.3,0.02,1.57,0.19,0.21,,,,,,37.63,6.11,8.04,0.31,1.84,11.27,,,0.757063785,0.779616476
SOLA,3/9/09_Med,time,3/9/09,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.088569852,10.82,0.02,1.8,0.22,0.36,,,,,,37.614,5.78,8.03,0.39,2.23,11.62,,,0.843048318,0.857037712
SOLA,3/23/09_Med,time,3/23/09,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.098180233,12.06,0.08,1.54,0.39,0.76,,,,,,37.827,6.24,8,0.09,1.4,12.28,,,0.826494916,0.834140748
SOLA,4/6/09_Med,time,4/6/09,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.095052847,11.99,0.09,1.96,0.63,0.3,,,,,,37.821,6.06,7.91,0.16,1.67,12.62,,,0.820047272,0.834772546
SOLA,4/20/09_Med,time,4/20/09,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,,12.82,0.09,1.29,0.51,1.36,,,,,,36.675,,8.06,0.08,2.1,13.6,,,,
SOLA,5/4/09_Med,time,5/4/09,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.091392462,13.94,0.04,1.19,0.61,0.29,,,,,,37.404,5.99,8.04,0.09,0.72,14.18,,,0.719903466,0.769529611
SOLA,5/18/09_Med,time,5/18/09,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.087988992,16.31,0.05,0.13,0.34,0.65,,,,,,37.143,5.99,8.12,0.02,0.98,14.7,,,0.738497965,0.796613747
SOLA,6/17/09_Med,time,6/17/09,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.086645981,18.85,0.06,0.02,0.69,0.52,,,,,,37.043,5.66,8.13,0.02,1.17,15.2,,,0.85708369,0.933079403
SOLA,7/1/09_Med,time,7/1/09,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.080111844,20.53,0.03,0.21,0.55,0.15,,,,,,37.422,5.48,8.12,0.02,0.64,15.28,,,0.877675584,0.920759389
SOLA,7/16/09_Med,time,7/16/09,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.086688348,20.84,0.03,0.29,0.59,0.13,,,,,,37.715,5.3,8.11,0.02,0.94,14.85,,,0.866335056,0.924508623
SOLA,7/27/09_Med,time,7/27/09,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.085525054,21.22,0.03,0.36,1.14,0.13,,,,,,37.804,5.25,8.18,0.02,0.78,14.63,,,0.877694254,0.904186604
SOLA,8/24/09_Med,time,8/24/09,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,,24.32,0.03,0.02,0.67,,,,,,,37.833,4.73,8.07,0.02,0.53,13.52,,,,
SOLA,9/9/09_Med,time,9/9/09,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.080497344,22.56,0.03,0.02,0.61,0.07,,,,,,38.019,5.11,8.09,0.02,0.56,12.78,,,0.901509222,0.945725887
SOLA,9/21/09_Med,time,9/21/09,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.082790778,20.18,0.03,0.02,0.7,0.15,,,,,,38.039,5.32,7.94,0.02,0.86,12.22,,,0.870217442,0.931110935
SOLA,10/13/09_Med,time,10/13/09,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.094150497,20.84,0.03,0.05,0.29,0.3,,,,,,38.132,5.1,7.99,0.02,1.18,11.18,,,0.806523457,0.847563272
SOLA,10/26/09_Med,time,10/26/09,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.086416458,17.53,0.03,0.05,0.34,0.48,,,,,,38.203,5.32,7.97,0.03,1.72,10.6,,,0.846025471,0.883072904
SOLA,11/16/09_Med,time,11/16/09,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.083270241,15.79,0.03,0.26,0.23,0.29,,,,,,38.185,5.34,7.95,0.09,1.53,9.75,,,0.902111184,0.915279657
SOLA,11/30/09_Med,time,11/30/09,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.094734469,15.87,0.03,0.25,0.17,0.52,,,,,,38.022,5.43,7.93,0.04,0.68,9.33,,,0.870683192,0.885927162
SOLA,12/16/09_Med,time,12/16/09,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.076073661,15.87,0.03,0.22,0.19,0.32,,,,,,37.991,5.38,8,0.04,0.61,9.08,,,0.968970133,0.968970133
SOLA,1/4/10_Med,time,1/4/10,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.091510862,12.54,0.03,0.59,0.22,0.94,,,,,,38.154,5.94,7.91,0.16,0.5,9.18,,,0.789821636,0.797786929
SOLA,1/11/10_Med,time,1/11/10,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.091742243,11.78,0.03,1.08,0.15,0.24,,,,,,38.006,5.98,7.76,0.29,1.03,9.32,,,0.84710785,0.854868528
SOLA,2/1/10_Med,time,2/1/10,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.092161928,10.75,0.03,2.55,0.33,0.48,,,,,,37.608,6.16,8.2,0.38,2.33,9.98,,,0.853376944,0.863303229
SOLA,2/15/10_Med,time,2/15/10,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.08825435,8.53,0.03,1.74,0.19,1.54,,,,,,37.474,6.59,8.25,0.26,1.32,10.58,,,0.874751262,0.888119344
SOLA,3/3/10_Med,time,3/3/10,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.094732659,10.76,0.03,3.59,0.46,1.13,,,,,,36.31,6.31,8.21,0.19,2.81,11.32,,,0.761852063,0.77685005
SOLA,3/15/10_Med,time,3/15/10,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.083746473,10.09,0.01,3.62,0.4,1.34,,,,,,36.895,6.33,8.24,0.28,2,11.9,,,0.868388647,0.88272415
SOLA,3/30/10_Med,time,3/30/10,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.090891579,12.07,0.04,1.63,0.21,0.8,,,,,,37.462,6.49,8.27,0.14,2.36,13,,,0.853841922,0.853841922
SOLA,4/26/10_Med,time,4/26/10,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.131355268,14.66,0.03,0.6,0.25,0.39,,,,,,37.249,5.95,8.24,0.07,0.96,13.85,,,0.108521738,0.130778183
SOLA,5/7/10_Med,time,5/7/10,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,,15.87,0.05,0.39,0.11,0.86,,,,,,39.99,5.82,8.26,0.06,0.71,14.15,,,,
SOLA,5/10/10_Med,time,5/10/10,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,,14.05,0.04,,,0.4,,,,,,37.331,5.88,8.24,0.14,2.62,14.42,,,,
SOLA,5/26/10_Med,time,5/26/10,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.119016575,16.19,0.06,0.07,0.01,0.33,,,,,,37.115,6.3,8.26,0.01,1.29,14.93,,,0.582846442,0.607262655
SOLA,6/7/10_Med,time,6/7/10,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,,17.63,0.02,0.1,,0.16,,,,,,37.444,5.69,8.23,0.02,2.2,15.18,,,,
SOLA,7/5/10_Med,time,7/5/10,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.139673513,19.06,0.01,0.06,0.01,0.14,,,,,,37.538,5.32,8.22,0.01,1.06,15.2,,,0.184917858,0.242899597
SOLA,7/19/10_Med,time,7/19/10,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.078804291,22.57,0.01,0.07,0.01,0.06,,,,,,37.518,4.93,8.23,0.01,2.59,14.88,,,0.896601648,0.94041058
SOLA,8/2/10_Med,time,8/2/10,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.1076972,20.98,0.01,0.06,0.01,0.09,,,,,,37.76,5.11,8.18,0.01,1.94,14.23,,,0.692942836,0.751794533
SOLA,8/23/10_Med,time,8/23/10,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.08181444,20.19,0.01,0.05,0.01,0.12,,,,,,37.88,5.28,8.12,0.01,1.29,13.57,,,0.867952511,0.927131092
SOLA,9/13/10_Med,time,9/13/10,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.1029983,19.39,0.01,0.09,0.03,0.14,,,,,,38,5.28,8.25,0.01,1.93,12.6,,,0.720516464,0.789268398
SOLA,10/27/10_Med,time,10/27/10,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,,15.4,0.1,0.6,0.24,0.48,,,,,,38.078,,8.23,0.09,3.4,10.25,,,,
SOLA,11/15/10_Med,time,11/15/10,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.100109326,14.8,0.03,0.6,0.12,0.4,,,,,,38.056,5.57,8.16,0.25,1.85,9.35,,,0.869852237,0.88654525
SOLA,12/6/10_Med,time,12/6/10,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.095630782,14.23,0.01,1.06,0.06,0.24,,,,,,38.126,5.47,8.17,0.18,1.82,9.22,,,0.878780958,0.888342772
SOLA,1/3/11_Med,time,1/3/11,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.100822213,11.27,0.07,2.06,0.03,0.66,,,,,,37.617,6.07,8.09,0.36,3.2,9.17,,,0.834329488,0.846664123
SOLA,1/17/11_Med,time,1/17/11,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.082254775,11.91,0.09,2.98,0.02,0.78,,,,,,37.301,5.93,8.14,0.33,3.5,9.48,,,0.9114673,0.9114673
SOLA,2/7/11_Med,time,2/7/11,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.098901337,10.71,0.07,2.28,0.21,1.22,,,,,,37.443,6.22,8.15,0.28,2.96,10.23,,,0.851956129,0.8563994
SOLA,2/21/11_Med,time,2/21/11,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.099133083,11.16,0.03,1.61,0.15,0.56,,,,,,37.59,6.07,8.14,0.22,2.51,10.85,,,0.780997014,0.792282512
SOLA,3/9/11_Med,time,3/9/11,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.109507658,12.05,0.01,1.43,0.01,0.61,,,,,,38.107,5.96,8.26,0.17,2.3,11.62,,,0.692980868,0.714324997
SOLA,3/21/11_Med,time,3/21/11,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.096388531,12.01,0.06,2.98,0.36,0.9,,,,,,36.648,5.98,8.3,0.38,4.01,12.18,,,0.783210175,0.802047547
SOLA,3/28/11_Med,time,3/28/11,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.103052276,12.73,0.03,1.84,0.04,1.42,,,,,,37.205,6.09,8.22,0.3,3.16,12.53,,,0.722332287,0.730857569
SOLA,4/26/11_Med,time,4/26/11,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.122728114,15.2,0.01,0.47,0.14,1.2,,,,,,37.126,5.7,8.15,0.05,1.16,13.85,,,0.403757859,0.45075966
SOLA,5/9/11_Med,time,5/9/11,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.085300235,17.14,0.02,0.06,0.01,0.28,,,,,,37.423,5.65,8.18,0.01,0.81,14.38,,,0.84372952,0.878878364
SOLA,5/23/11_Med,time,5/23/11,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.085033546,18.2,0.01,0.06,0.01,0.14,,,,,,37.591,5.62,8.2,0.01,0.46,14.85,,,0.894904353,0.932825094
SOLA,6/7/11_Med,time,6/7/11,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.078090974,18.07,0.01,0.03,0.01,0.21,,,,,,38.107,5.44,8.11,0.02,0.7,15.18,,,0.939929467,0.963023557
SOLA,6/27/11_Med,time,6/27/11,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.095795736,19.77,0.01,0.08,0.01,0.11,,,,,,37.793,5.32,8.4,0.01,0.47,15.28,,,0.747498129,0.825131841
SOLA,7/11/11_Med,time,7/11/11,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.089477133,20.79,0.01,0,0.01,0.04,,,,,,37.888,4.68,8.37,0.01,0.5,15.08,,,0.826992527,0.891358812
SOLA,7/27/11_Med,time,7/27/11,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.09069263,19.65,0.01,0.2,0.02,0.09,,,,,,37.951,4.86,8.11,0.02,0.93,14.63,,,0.847162973,0.907877689
SOLA,8/30/11_Med,time,8/30/11,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.085792067,22.43,0.01,0.02,0.01,0.13,,,,,,37.976,5.07,8.22,0.01,0.77,13.6,,,0.900414315,0.954888408
SOLA,9/12/11_Med,time,9/12/11,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.084531309,22.18,0.01,0.02,0.01,0.12,,,,,,37.249,4.99,8.2,0.01,0.4,12.92,,,0.918287783,0.942931616
SOLA,9/27/11_Med,time,9/27/11,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.08422865,22.04,0.01,0.13,0.01,0.08,,,,,,38.054,5,8.17,0.01,0.77,11.93,,,0.879646446,0.916666245
SOLA,10/11/11_Med,time,10/11/11,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.091754623,21.41,0.09,0.05,0.01,0.12,,,,,,38.081,4.99,8.13,0.01,1.04,11.6,,,0.84799857,0.887242119
SOLA,10/17/11_Med,time,10/17/11,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.098367577,18.9,0.07,0.08,0.01,0.08,,,,,,38.163,5,8.19,0.01,1.26,11,,,0.81019422,0.839662283
SOLA,11/7/11_Med,time,11/7/11,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.09561726,17.08,0.15,3.29,0.68,0.54,,,,,,36.688,5.18,8.2,0.12,6.91,10.1,,,0.84414639,0.878228973
SOLA,11/23/11_Med,time,11/23/11,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.123798162,16.22,0.36,4.49,0.38,1.52,,,,,,34.294,5.49,8.12,0.23,10.61,9.52,,,0.723025627,0.754829076
SOLA,12/6/11_Med,time,12/6/11,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.097933114,16.32,0.04,0.23,0.04,1.05,,,,,,37.806,4.95,8.14,0.09,0.74,9.22,,,0.827844229,0.848115151
SOLA,1/3/12_Med,time,1/3/12,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.103520118,13.8,0.03,0.61,0.02,0.68,,,,,,38.132,5.68,8.31,0.18,1.15,9.17,,,0.807657488,0.829408347
SOLA,1/16/12_Med,time,1/16/12,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.126093549,13.19,0.05,1.55,0.03,0.39,,,,,,38.153,5.42,8.16,0.33,1.74,9.65,,,0.810925266,0.833445383
SOLA,1/31/12_Med,time,1/31/12,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.097044243,11.82,0.04,1.59,0.02,0.29,,,,,,38.043,5.94,8.19,0.41,1.92,9.95,,,0.834435074,0.84700062
SOLA,2/21/12_Med,time,2/21/12,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.084914313,10.48,0.04,2.28,0.01,0.51,,,,,,38.155,6.13,8.25,0.16,3.26,10.85,,,0.92112878,0.925168297
SOLA,3/7/12_Med,time,3/7/12,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.102073529,10.91,0.05,1.06,0.09,0.8,,,,,,38.197,6.26,8.37,0.14,0.6,11.55,,,0.860195199,0.86389004
SOLA,3/13/12_Med,time,3/13/12,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.097002285,11.19,0.02,0.53,0.1,0.6,,,,,,38.194,6.24,8.4,0.15,0.2,11.85,,,0.824215722,0.831641996
SOLA,4/4/12_Med,time,4/4/12,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.089429635,13.84,0.03,0.43,0.04,0.32,,,,,,37.946,5.88,8.31,0.06,1.46,12.9,,,0.844328061,0.873996557
SOLA,4/19/12_Med,time,4/19/12,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.122263308,13.08,0.04,0.37,0.06,0.23,,,,,,38.08,5.81,8.41,0.12,1.66,13.6,,,0.426441337,0.456140718
SOLA,4/23/12_Med,time,4/23/12,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.0946971,13.25,0.06,1.07,0.02,0.33,,,,,,38.23,5.63,8.23,0.14,2.02,13.77,,,0.818143551,0.838736071
SOLA,5/9/12_Med,time,5/9/12,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.112532117,15.45,0.05,0.94,0.01,1.8,,,,,,36.614,6.13,8.52,0.14,0.35,14.42,,,0.607789328,0.650726567
SOLA,5/25/12_Med,time,5/25/12,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.077450939,15.58,0.02,0.28,0.04,0.34,,,,,,37.808,5.6,8.38,0.05,1.52,14.93,,,0.926030821,0.948359059
SOLA,6/7/12_Med,time,6/7/12,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.11095226,19.5,0.03,0.23,0.01,0.14,,,,,,37.642,5.4,8.35,0.01,0.84,15.2,,,0.64946452,0.702542439
SOLA,6/11/12_Med,time,6/11/12,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.18587997,19.29,0.05,0.31,0.03,0.22,,,,,,37.416,5.3,8.44,0.01,1.41,15.25,,,0.029174275,0.038535313
SOLA,6/20/12_Med,time,6/20/12,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.09423011,19.75,0.02,0.19,0.01,0.1,,,,,,37.61,5.25,8.33,0.01,0.79,15.3,,,0.80895576,0.880492465
SOLA,6/25/12_Med,time,6/25/12,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.098332716,20.21,0.05,0.04,0.01,0.14,,,,,,37.804,5.34,8.43,0.02,1.11,15.28,,,0.746054323,0.860132488
SOLA,7/12/12_Med,time,7/12/12,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.078107401,20.09,0.03,0.02,0.01,0.12,,,,,,37.855,5.11,8.38,0.02,0.79,15.03,,,0.936707905,0.975314088
SOLA,8/6/12_Med,time,8/6/12,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,,21.75,0.02,0.06,0.09,0.16,,,,,,38.008,,8.3,0.01,0.95,14.23,,,,
SOLA,8/16/12_Med,time,8/16/12,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.091978239,20.38,0.03,0.13,0.04,0.1,,,,,,38.388,4.74,8.33,0.01,1.98,13.83,,,0.800952058,0.844658833
SOLA,8/20/12_Med,time,8/20/12,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,,22.87,0.02,0.12,0.06,0.2,,,,,,38.176,4.72,8.26,0.01,1.15,13.65,,,,
SOLA,9/11/12_Med,time,9/11/12,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.078735829,19.27,0.02,0.02,0.01,0.31,,,,,,37.996,5.1,8.36,0.01,1.22,12.65,,,0.898316261,0.940036614
SOLA,9/25/12_Med,time,9/25/12,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.089472452,18.6,0.01,0.02,0.14,0.33,,,,,,37.752,5.14,8.45,0.03,1.6,11.65,,,0.850256731,0.870158637
SOLA,10/8/12_Med,time,10/8/12,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.082840665,18.87,0.01,0.02,0.02,0.35,,,,,,37.86,5.17,8.44,0.01,0.38,11.05,,,0.888561309,0.942487709
SOLA,10/22/12_Med,time,10/22/12,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.097982819,18.24,0.05,0.29,0.27,0.48,,,,,,38.15,5.07,8.43,0.07,1.47,10.72,,,0.756802745,0.801262256
SOLA,11/5/12_Med,time,11/5/12,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.099173085,16.58,0.07,0.62,0.2,0.57,,,,,,37.872,5.32,8.39,0.11,2.02,10.13,,,0.807898462,0.843370299
SOLA,11/19/12_Med,time,11/19/12,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.098780983,15.41,0.06,0.91,0.31,0.36,,,,,,37.89,5.51,8.35,0.18,2.12,9.62,,,0.852834973,0.876168693
SOLA,11/26/12_Med,time,11/26/12,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.090219947,15.51,0.05,1.66,0.49,0.34,,,,,,37.615,5.12,8.4,0.22,3.37,9.4,,,0.896155693,0.909786316
SOLA,12/12/12_Med,time,12/12/12,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.095407314,13.09,0.04,1.39,0.01,0.48,,,,,,38.02,5.85,8.38,0.24,2.53,9.12,,,0.894504138,0.899493563
SOLA,1/15/13_Med,time,1/15/13,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.101291771,12.71,0.06,0.94,0.02,1.15,,,,,,37.625,5.89,8.41,0.27,1.39,9.43,,,0.842720602,0.851239551
SOLA,2/4/13_Med,time,2/4/13,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.095290801,11.08,0.06,1.79,0.05,1.2,,,,,,38.052,5.94,8.39,0.3,1.86,10.12,,,0.825235535,0.837757717
