Sample,Insolation,Temperature,Salinity,Oxygen,pH,DIC,Chlorophylle-a,Ammonia,Nitrogen,Phosphate,Silicate
PID256,242.47,15.5,26.5,100.4,7.92,1885.8,6.05,301.27,0.0,0.1,13.07
PID257,228.93,17.2,30.0,99.1,7.95,1986.48,4.07,393.9,0.0,0.07,6.39
PID258,217.3,17.4,31.0,98.9,7.93,2027.82,5.74,222.66,0.17,0.08,4.9
PID259,207.75,17.0,32.0,99.0,7.98,2080.37,5.38,227.9,0.17,0.05,1.63
PID260,200.73,15.0,31.0,98.0,7.95,2047.77,3.56,183.72,0.02,0.07,4.08
PID261,195.29,13.6,33.0,100.1,7.95,2077.93,2.58,174.12,0.0,0.06,3.04
PID262,194.69,11.9,31.0,96.0,7.93,2028.83,2.72,159.78,0.0,0.09,5.11
PID263,195.91,13.2,33.0,96.9,7.94,2104.02,4.8,139.63,0.0,0.06,0.82
PID264,199.91,10.0,31.0,94.3,7.92,2096.6,3.11,73.76,0.12,0.0,2.83
PID265,206.67,11.4,33.5,98.1,7.92,2145.7,2.4,303.85,0.19,0.0,2.05
PID266,215.95,9.6,33.0,99.2,7.89,2157.37,2.38,229.76,0.1,0.01,3.58
PID267,227.53,11.4,34.0,98.7,7.89,2157.3,2.3,200.02,0.09,0.0,1.82
PID268,241.24,11.9,33.0,99.7,7.88,2148.57,2.09,196.96,0.1,0.06,3.41
PID269,256.58,11.6,34.0,88.9,7.89,2153.87,2.89,356.08,0.1,0.02,1.53
PID270,273.21,9.1,34.0,89.4,7.89,2176.9,1.86,307.67,0.07,0.01,1.4
PID271,290.84,10.4,33.0,93.1,7.88,2140.53,2.3,299.39,0.17,0.01,2.34
PID272,309.0,12.3,33.0,97.4,7.9,2149.3,2.55,415.06,0.05,0.0,1.43
PID273,327.29,11.2,32.0,94.2,7.87,2129.1,3.14,149.37,0.0,0.02,3.1
PID274,345.59,13.9,32.0,92.4,7.9,2102.8,2.7,98.22,0.06,0.0,2.03
PID275,363.24,17.7,34.0,94.9,7.89,2168.57,2.98,124.53,0.14,0.0,1.34
PID276,380.31,17.2,34.0,98.6,7.91,2164.6,4.21,142.88,0.24,0.0,1.14
PID277,396.43,17.8,30.0,89.2,7.91,2131.47,4.14,127.02,0.25,0.01,1.52
PID278,411.31,17.5,34.0,90.8,7.95,2108.37,3.67,144.6,0.13,0.02,1.36
PID279,425.05,19.7,33.0,100.3,7.91,2129.63,2.78,247.0,0.08,0.04,1.71
PID280,437.37,17.7,33.5,102.0,7.95,2157.0,3.34,169.5,0.06,0.13,1.0
PID281,448.19,21.1,30.5,103.1,7.87,2060.23,5.65,153.0,0.06,0.06,8.25
PID282,457.68,21.8,34.0,106.8,7.95,2157.2,3.86,130.0,0.13,0.0,3.64
PID283,465.49,22.8,35.0,105.5,7.95,2171.93,5.09,118.0,0.11,0.0,1.26
PID284,472.05,22.3,33.0,102.8,7.92,2119.8,5.9,123.5,0.03,0.02,7.52
PID285,477.18,26.9,33.0,103.8,7.91,2125.5,7.56,234.0,0.06,0.06,9.46
PID290,480.71,24.2,32.0,97.2,7.91,2149.27,5.43,355.5,0.08,0.04,3.81
PID299,482.51,25.0,33.0,102.9,7.92,2167.27,5.78,218.0,0.06,0.04,4.0
PID300,483.31,24.9,32.0,105.4,7.91,2104.2,5.28,105.5,0.07,0.03,8.8
PID301,482.59,26.3,33.0,103.7,7.95,2151.13,6.66,295.5,0.38,0.0,4.12
PID302,480.35,27.3,33.5,108.8,7.95,2147.57,7.36,111.0,0.0,0.0,4.15
PID303,476.61,28.5,35.0,109.0,8.0,2142.53,3.94,225.5,0.0,0.03,3.95
PID304,471.45,29.1,33.0,107.2,8.01,2135.5,6.1,102.0,0.0,0.0,5.52
PID306,463.78,28.4,35.0,109.5,8.07,2109.23,6.21,104.5,0.04,0.0,2.51
PID309-1,455.47,28.2,34.0,84.9,7.95,2137.77,6.31,510.0,0.13,0.0,7.34
PID467,445.81,29.3,33.0,97.9,8.01,2108.83,5.68,78.5,0.0,0.0,4.85
PID468,435.04,28.2,34.0,98.4,7.98,2095.67,8.24,44.0,0.0,0.06,7.52
PID469,422.98,28.1,33.0,90.4,7.97,2098.67,10.36,62.0,0.06,0.04,3.41
PID470,407.69,26.8,29.5,82.2,7.85,1983.3,8.6,1824.0,0.47,0.2,14.06
PID471,393.1,27.9,32.0,97.6,7.98,2043.97,10.14,65.5,0.0,0.03,3.65
PID472,377.57,24.7,30.0,86.0,7.93,1986.9,11.84,49.5,0.06,0.09,18.86
PID473,361.1,26.0,33.0,94.7,7.99,2078.57,10.85,316.0,0.07,0.07,3.89
PID474,344.03,23.1,30.0,88.7,7.91,2048.43,4.93,91.0,0.0,0.13,9.14
PID475,326.59,25.0,35.0,95.6,7.96,2083.83,8.52,490.0,0.22,0.05,2.99
PID476,308.82,21.5,30.0,90.4,7.91,2024.2,11.64,204.5,0.0,0.1,11.2
PID477,291.38,21.7,35.29,97.1,8.01,2086.7,8.0,23.0,0.0,0.04,1.25
PID478,274.32,20.4,31.5,93.7,7.92,2091.8,6.83,49.0,0.23,0.09,7.11
PID481,258.0,16.0,34.17,93.6,7.95,2084.8,4.48,870.5,0.0,0.16,3.56
PID484,242.97,12.7,32.0,92.9,7.95,2014.27,5.17,96.0,0.05,0.06,9.95
PID485,229.37,14.4,32.82,94.9,7.95,2042.63,6.79,50.0,0.0,0.02,4.47
PID486,217.68,13.0,28.85,94.6,7.83,1955.4,5.8,357.0,0.16,0.09,11.86
PID487,208.05,12.3,30.3,97.8,7.92,1972.37,5.17,44.0,0.0,0.05,7.03
PID488,200.93,14.3,31.29,104.6,7.94,1989.4,3.45,13.0,0.0,0.05,5.05
PID489,196.44,15.1,31.46,93.9,7.89,2024.37,4.65,112.0,0.0,0.07,3.08
PID490,194.78,13.6,31.94,95.9,7.9,2036.3,4.92,59.0,0.04,0.06,2.65
PID491,195.48,11.7,31.84,93.9,7.89,2037.83,4.59,128.0,0.06,0.08,2.95
PID492,199.73,11.4,33.2,95.5,7.93,2061.93,4.58,2.0,0.0,0.03,1.61
PID493,207.56,10.8,31.6,94.3,7.9,2038.63,3.42,65.5,0.07,0.04,2.98
PID494,215.58,13.4,33.51,91.8,7.92,2089.4,2.2,24.5,0.0,0.02,0.9
PID495,227.08,9.1,29.69,90.0,7.91,1971.63,2.6,46.0,0.0,0.03,3.47
PID496,240.73,11.1,33.49,90.9,7.96,2081.1,1.83,36.5,0.0,0.01,0.51
PID497,256.02,10.1,32.75,86.9,7.9,2115.77,1.82,24.5,0.0,0.02,1.94
PID498,272.6,12.4,30.18,85.7,7.88,1990.33,2.95,92.5,0.0,0.03,3.1
PID525,295.34,9.8,28.2,89.2,7.89,1901.13,2.54,15.0,0.1,0.02,5.91
PID526,308.35,11.9,31.24,92.3,7.89,2001.1,2.62,55.5,0.0,0.04,3.18
PID527,326.64,10.9,28.34,92.0,7.87,1908.03,2.88,39.0,0.0,0.05,5.74
PID528,344.95,12.8,30.79,92.6,7.86,2001.0,1.53,109.5,0.04,0.08,3.54
PID529,362.62,13.5,27.74,88.2,7.93,1853.2,3.12,39.5,0.0,0.02,4.14
PID530,379.73,9.8,31.44,90.6,7.88,2014.23,2.25,27.0,0.03,0.04,3.33
PID531,395.89,13.6,31.88,92.5,7.88,2078.4,1.94,71.5,0.0,0.07,3.12
PID532,410.8,16.4,30.15,96.9,7.88,1980.33,4.01,14.5,0.0,0.03,1.8
PID533,424.6,19.5,31.58,92.7,7.87,2055.23,4.98,13.0,0.0,0.03,2.28
PID534,436.97,15.7,29.55,94.7,7.83,1952.03,8.39,33.5,0.0,0.03,2.76
PID535,447.84,18.4,30.97,95.3,7.86,2009.0,4.41,57.0,0.0,0.05,1.86
PID536,457.39,18.6,27.62,90.8,7.84,1883.2,6.56,11.5,0.04,0.0,3.56
PID537,465.26,19.2,30.56,93.6,7.88,2014.3,4.51,5.5,0.0,0.03,2.1
PID538,471.86,23.4,32.92,94.8,7.88,2079.73,4.44,50.0,0.0,0.07,2.71
PID539,477.05,23.0,34.78,97.7,7.94,2111.17,3.02,22.0,0.04,0.05,1.55
PID540,480.63,24.7,34.57,95.1,7.95,2107.43,6.8,9.0,0.04,0.02,1.98
PID541,482.69,25.9,34.79,96.0,7.94,2087.7,3.91,28.0,0.07,0.08,1.45
PID542,483.33,25.6,34.14,90.4,7.92,2075.43,5.26,130.5,0.03,0.1,2.92
PID544,482.45,26.5,34.88,99.9,7.98,2071.1,4.75,9.0,0.0,0.04,0.73
PID545,480.04,27.0,34.28,97.4,7.96,2066.97,6.26,18.5,0.0,0.06,3.63
PID546,476.14,27.6,35.38,100.9,8.0,2078.23,2.98,7.5,0.0,0.01,0.78
PID547,470.81,29.4,34.54,91.7,7.97,2057.33,6.73,28.5,0.0,0.05,7.14
PID548,464.06,27.3,35.75,96.1,7.97,2106.87,4.36,17.0,0.0,0.06,2.3
PID549,455.79,27.5,32.35,91.9,7.89,2000.6,10.9,33.5,0.03,0.02,9.52
PID550,446.17,26.9,34.99,94.7,7.95,2099.73,5.52,29.5,0.0,0.03,4.52
PID551,435.45,28.3,35.41,89.0,7.97,2115.97,6.71,95.0,0.03,0.05,6.76
PID552,423.42,26.9,34.97,94.7,7.95,2106.8,5.46,53.0,0.0,0.03,5.29
PID553,410.2,25.85,34.38,93.5,7.96,2091.87,6.0,89.0,0.0,0.05,6.21
PID554,395.77,27.3,33.48,92.6,7.93,2059.77,7.08,155.5,0.0,0.07,6.39
PID555,380.37,27.6,34.08,90.05,7.95,2072.53,5.79,28.5,0.0,0.03,7.6
PID556,364.1,23.85,34.36,93.0,7.94,2101.93,8.31,75.0,0.07,0.04,9.39
PID560,347.08,23.3,34.22,96.45,7.96,2081.2,5.74,51.0,0.0,0.02,7.25
PID561,329.68,22.5,32.0,89.2,7.93,2033.93,6.16,69.0,0.13,0.05,9.6
PID562,312.0,22.1,32.02,92.65,7.93,2018.8,6.72,1560.5,0.25,0.11,7.92
PID563,294.45,21.3,29.51,91.3,7.86,1940.23,7.19,1632.5,0.87,0.11,15.27
PID564,277.27,21.2,32.0,88.4,7.95,2011.2,5.2,736.0,0.41,0.05,4.35
PID565,256.31,18.35,31.18,89.65,7.95,1998.1,4.52,196.0,0.0,0.04,5.39
PID566,241.43,18.4,33.29,92.3,7.98,2063.07,5.19,386.5,0.11,0.06,2.3
PID567,227.99,12.2,28.63,88.55,7.9,1958.57,5.8,82.0,0.03,0.07,11.6
PID568,216.53,14.9,32.69,90.4,7.96,2071.73,4.11,77.0,0.03,0.04,3.23
PID569,207.14,14.75,32.71,92.6,7.93,2079.1,4.0,145.5,0.2,0.04,1.92
PID570,200.32,13.15,33.43,89.5,7.94,2084.57,4.85,67.5,0.06,0.04,1.94
PID571,196.12,12.5,32.22,90.25,7.89,2066.73,3.55,111.0,0.16,0.06,4.23
PID572,194.68,12.1,32.39,91.65,7.92,2047.47,4.95,76.5,0.0,0.05,3.99
PID573,196.12,12.8,32.68,90.85,7.94,2064.6,3.1,62.5,0.11,0.06,3.49
