Sample,Temperature,Salinity,Oxygen,pH,Ammonia,Nitrate,Nitrogen Dioxide,Phosphate,SIOH4,Chlorophylle-a,Day Length (hours)
11/5/12,16.58,37.872,5.32,8.39,0.2,0.62,0.11,0.07,2.02,0.57,10.13
11/19/12,15.41,37.89,5.51,8.35,0.31,0.91,0.18,0.06,2.12,0.36,9.62
11/26/12,15.51,37.615,5.12,8.4,0.49,1.66,0.22,0.05,3.37,0.34,9.4
12/12/12,13.09,38.02,5.85,8.38,0.01,1.39,0.24,0.04,2.53,0.48,9.12
1/15/13,12.71,37.625,5.89,8.41,0.02,0.94,0.27,0.06,1.39,1.15,9.43
2/4/13,11.08,38.052,5.94,8.39,0.05,1.79,0.3,0.06,1.86,1.2,10.12
3/11/13,11.47,34.709,6.41,8.38,0.1,5.9,0.24,0.18,9.98,2.57,11.7
3/25/13,10.98,37.327,6.18,8.31,0.34,2.16,0.24,0.09,0.95,1.19,12.37
4/22/13,13.13,37.111,5.92,8.31,0.19,1.81,0.21,0.04,3.19,0.47,13.68
5/6/13,13.92,37.335,7.88,8.35,0.07,1.6,0.17,0.05,3.68,0.18,14.28
5/21/13,14.68,37.498,8.07,8.35,0.05,0.37,0.01,0.08,0.32,1.12,14.53
6/3/13,14.96,37.756,5.86,8.17,0.03,0.24,0.03,0.06,1.22,1.41,15.12
6/17/13,15.92,38.49,5.68,8.14,0.02,0.18,0.01,0.02,0.11,0.24,15.28
7/1/13,19.14,37.941,5.63,7.86,0.02,0.06,0.01,0.03,0.75,0.46,15.25
7/15/13,21.84,37.728,4.97,8.16,0.03,0.02,0.01,0.02,0.79,0.18,14.98
7/29/13,21.94,37.645,5.17,8.17,0.01,0.1,0.01,0.05,0.78,0.28,14.57
8/12/13,23.22,37.832,4.76,8.17,0.01,0.02,0.01,0.03,1.14,0.2,14.03
8/26/13,22.57,37.889,4.78,8.15,0.05,0.16,0.01,0.01,0.88,0.14,13.43
9/9/13,20.75,37.877,4.48,8.19,0.06,0.02,0.01,0.03,1.14,0.1,12.78
9/23/13,19.03,38.355,5.27,8.16,0.06,0.02,0.01,0.02,1.43,0.14,12.12
10/14/13,17.99,37.838,4.98,8.14,0.02,0.02,0.01,0.03,0.43,0.22,11.13
10/28/13,19.05,36.762,4.52,8.14,0.53,1.62,0.05,0.04,0.57,1.05,10.5
11/13/13,16.47,37.945,5.37,8.06,0.08,0.17,0.01,0.04,1.4,0.95,9.85
11/28/13,12.2,37.837,5.84,8.1,0.14,1.56,0.21,0.09,3.02,0.51,9.38
12/12/13,12.72,38.187,5.67,8.05,0.05,2.49,0.2,0.09,2.98,0.51,9.12
1/13/14,12.44,34.278,6.138,7.961,0.13,9.52,0.69,0.08,10.99,1.75,9.37
2/2/14,12.25,37.51,3.875,8.112,0.04,1.84,0.34,0.04,2.64,1.43,10.08
2/10/14,12.12,37.68,4.801,8.12,0.07,1.45,0.34,0.06,1.9,1.56,10.37
2/24/14,12.66,37.95,5.734,8.107,0.09,1.73,0.35,0.06,2.48,0.74,11.0
3/24/14,12.76,37.676,5.927,8.139,0.22,0.73,0.15,0.01,0.28,1.09,12.33
4/7/14,13.52,37.068,6.011,8.044,0.16,1.06,0.14,0.03,0.46,2.53,13.0
4/22/14,15.16,37.402,5.547,8.17,0.02,0.11,0.05,0.01,0.75,1.22,13.68
5/19/14,16.02,37.765,5.59,8.045,0.11,0.12,0.05,0.03,0.93,0.39,14.73
6/10/14,17.7,37.725,5.45,8.1,0.01,0.02,0.01,0.01,0.83,0.33,15.23
6/23/14,20.3,37.903,5.151,8.278,0.07,0.02,0.01,0.01,0.6,0.26,15.3
7/7/14,20.21,37.816,5.143,8.261,0.08,0.02,0.01,0.01,1.48,0.21,15.15
7/21/14,20.5,37.883,5.038,8.088,0.05,0.2,0.01,0.01,2.75,0.27,14.83
8/4/14,21.99,37.826,4.2231,8.112,0.02,0.17,0.01,0.01,0.68,0.26,14.35
8/19/14,21.55,37.893,3.609,8.156,0.01,0.02,0.01,0.01,0.68,0.23,13.73
9/1/14,21.67,37.9374,5.08,8.552,0.01,0.03,0.08,0.01,0.54,0.15,13.17
9/15/14,21.64,37.8899,5.016,8.003,0.05,0.08,0.02,0.03,1.74,0.53,12.52
11/12/14,18.23,38.0811,4.999,8.131,0.09,0.3,0.11,0.01,1.03,0.3,9.88
11/24/14,17.33,37.6689,5.32,8.147,0.44,0.66,0.07,0.17,1.22,0.6,9.5
12/8/14,16.15,37.5258,5.467,8.148,0.24,1.37,0.31,0.04,3.64,0.33,9.17
1/5/15,14.71,37.66,5.821,8.117,0.1,0.53,0.28,0.01,1.81,0.46,9.2
1/8/15,13.27,37.7898,5.795,8.144,0.05,,,,,0.69,9.25
1/12/15,14.29,38.0494,5.686,8.132,0.01,0.58,0.24,0.01,1.67,0.46,9.33
1/15/15,13.31,37.9169,5.795,8.144,0.05,,,,,0.69,9.43
1/19/15,13.08,37.975,5.899,8.128,0.1,0.29,0.2,0.01,1.21,0.88,9.53
1/22/15,12.67,37.829,5.86,8.144,0.08,,,,,1.1,9.63
1/27/15,12.15,37.9268,6.009,8.082,0.04,0.63,0.23,0.01,1.25,0.89,9.82
1/29/15,12.38,37.9942,5.992,8.163,0.02,,,,,1.22,9.87
2/2/15,12.6,38.0616,5.817,8.156,0.09,1.45,0.22,0.02,3.82,0.64,10.03
