Sample,Depth,Temperature,Nitrate,Phosphate,POC,Oxygen,Salinity,Chl_A_Sat,ChlA_Sat8
7.2009.150m,150m,9.33547,,,198.769225,1.82554,34.03223,3.48242,5.76131
8.2009.150m,150m,9.55,,,112.136042,1.99,33.96,0.42942,0.45108
9.2009.150m,150m,,,,71.539853,1.89,33.99,0.32865,0.22401
10.2009.150m,150m,,,,64.26432,,,0.22838,0.21567
11.2009.150m,150m,,,,70.423419,,,0.25893,0.28154
12.2009.150m,150m,,,,129.81653,,,0.4745,0.67679
1.2010.150m,150m,10.0,,,235.195687,,33.8,1.1163,2.12981
2.2010.150m,150m,10.054,,,109.939653,,33.86,0.65365,0.63286
3.2010.150m,150m,9.51,,,393.462114,,34.04,1.93465,0.83162
4.2010.150m,150m,9.2665,,,174.099885,1.93235,34.01067,0.68272,0.71904
5.2010.150m,150m,9.50057,,,182.214096,1.55142,34.11307,1.30468,1.31575
6.2010.150m,150m,,,,100.77816,,,0.30893,0.37905
7.2010.150m,150m,9.41,,,137.67908,1.19213,34.15793,0.67807,1.02913
8.2010.150m,150m,9.43933,,,98.57449,1.444,34.0831,0.71412,0.40244
9.2010.150m,150m,,,,242.752859,,,0.92392,1.09982
10.2010.150m,150m,9.75063,,,95.190036,1.34586,34.0399,0.4274,
11.2010.150m,150m,9.69813,,,102.197743,1.46982,33.9516,0.97637,0.44836
12.2010.150m,150m,9.5648,,,144.293246,1.48633,34.01467,1.46838,0.82259
1.2011.150m,150m,9.4704,,,465.40997,1.78597,33.9945,7.32448,21.77576
2.2011.150m,150m,,,,11.484264,,,1.07052,1.32458
3.2011.150m,150m,9.1204,,,70.52767,1.61616,34.0999,5.02717,1.3618
4.2011.150m,150m,9.3014,,,7.1656647,1.57904,34.1511,0.81342,0.8034
5.2011.150m,150m,9.5921,,,17.78177,1.24236,34.2197,0.84082,0.93552
6.2011.150m,150m,9.4509,,,6.003615,1.3965,34.1694,0.51372,0.40336
7.2011.150m,150m,,,,5.398616,,,0.30393,0.35138
8.2011.150m,150m,9.4636,,,5.421209,1.87316,34.0413,0.30992,0.34248
9.2011.150m,150m,,,,4.0771356,,,0.40121,0.43033
10.2011.150m,150m,9.4877,,,2.6080685,2.14873,33.9363,0.56398,0.30684
11.2011.150m,150m,9.6306,,,6.738521,1.89917,33.9586,0.35273,0.36797
12.2011.150m,150m,9.4344,,,5.346955,2.05984,33.9459,0.32284,0.31539
1.2012.150m,150m,9.4987,,,40.388096,1.94708,34.0327,0.65196,1.2374
2.2012.150m,150m,9.7894,,,10.09675,1.67575,34.1313,0.63298,0.70594
3.2012.150m,150m,9.2951,,,194.23975,1.68303,34.1249,2.056,1.02568
4.2012.150m,150m,,,,,,,1.48303,
5.2012.150m,150m,,,,16.075497,,,0.4251,0.74344
6.2012.150m,150m,9.9301,,,224.46512,1.60374,34.1014,0.29173,0.26123
7.2012.150m,150m,9.5086,,,4.209793,2.2056,33.9846,0.2901,0.22492
8.2012.150m,150m,9.2568,,,1.036051,2.77899,33.845,0.18505,0.1993
9.2012.150m,150m,10.0239,,,2.858858,2.7851,33.8007,0.16426,0.15107
10.2012.150m,150m,10.4278,,,2.8027546,3.09484,33.6853,0.19697,0.18863
11.2012.150m,150m,9.9418,,,8.442102,2.45218,33.865,0.27236,0.13468
12.2012.150m,150m,9.9418,,,1.8604612,2.45218,33.865,0.26456,0.23167
1.2013.150m,150m,9.3802,,,57.092552,2.05089,34.0273,0.85673,0.77221
2.2013.150m,150m,9.5196,,,19.321674,1.93727,34.0677,0.59356,0.60653
3.2013.150m,150m,9.5791,,,60.546528,1.71653,34.1147,0.89902,1.05908
4.2013.150m,150m,9.3957,,,14.16854,1.64294,34.1153,1.21447,0.61386
5.2013.150m,150m,9.0313,,,10.417104,2.21807,34.0237,0.4447,0.34579
6.2013.150m,150m,8.9253,,,3.2765968,2.16143,34.034,0.32601,0.32864
7.2013.150m,150m,9.5056,,,6.2558045,1.77766,34.0978,0.23447,0.28346
8.2013.150m,150m,9.5099,,,4.9886007,2.03167,34.0125,0.2652,0.27662
9.2013.150m,150m,10.0943,,,2.4531872,1.59144,34.0559,0.31346,0.35724
10.2013.150m,150m,9.5209,,,4.671314,2.62154,33.8738,,0.24067
11.2013.150m,150m,9.4716,,,3.6731987,3.1142,33.7329,,
12.2013.150m,150m,,,,1.7749363,,,,
2.2009.500m,500m,6.24345,,,259.638409,0.1129,34.316,1.11265,1.94016
3.2009.500m,500m,6.3894,,,129.929596,0.17723,34.2922,2.77179,0.5918
4.2009.500m,500m,6.25795,,,106.5675,0.15785,34.30295,0.6783,0.42073
5.2009.500m,500m,6.4928,,,92.625101,0.20384,34.28535,0.42285,0.39538
6.2009.500m,500m,6.77755,,,67.723211,0.2018,34.30785,0.30158,0.22912
7.2009.500m,500m,6.84665,,,198.769225,0.2238,34.30215,3.48242,5.76131
8.2009.500m,500m,6.97,,,112.136042,0.27,34.29,0.42942,0.45108
9.2009.500m,500m,6.9,,,71.539853,0.26,34.29,0.32865,0.22401
10.2009.500m,500m,,,,64.26432,,,0.22838,0.21567
11.2009.500m,500m,,,,70.423419,,,0.25893,0.28154
12.2009.500m,500m,,,,129.81653,,,0.4745,0.67679
1.2010.500m,500m,6.73,,,235.195687,,34.3,1.1163,2.12981
2.2010.500m,500m,6.589,,,109.939653,,34.265,0.65365,0.63286
3.2010.500m,500m,6.47,,,393.462114,,34.27,1.93465,0.83162
4.2010.500m,500m,6.36575,,,174.099885,0.2241,34.28095,0.68272,0.71904
5.2010.500m,500m,6.3886,,,182.214096,0.22762,34.27805,1.30468,1.31575
6.2010.500m,500m,,,,100.77816,,,0.30893,0.37905
7.2010.500m,500m,6.33605,,,137.67908,0.21469,34.2801,0.67807,1.02913
8.2010.500m,500m,6.39755,,,98.57449,0.19984,34.278,0.71412,0.40244
9.2010.500m,500m,,,,242.752859,,,0.92392,1.09982
10.2010.500m,500m,6.4334,,,95.190036,0.15758,34.28245,0.4274,
11.2010.500m,500m,6.4502,,,102.197743,0.15204,34.2851,0.97637,0.44836
12.2010.500m,500m,6.55165,,,144.293246,0.18656,34.2778,1.46838,0.82259
1.2011.500m,500m,6.176,,,465.40997,0.2853,34.3077,7.32448,21.77576
2.2011.500m,500m,,,,11.484264,,,1.07052,1.32458
3.2011.500m,500m,6.4181,,,70.52767,0.34895,34.2879,5.02717,1.3618
4.2011.500m,500m,6.4081,,,7.1656647,0.32418,34.3054,0.81342,0.8034
5.2011.500m,500m,6.6749,,,17.78177,0.35481,34.2848,0.84082,0.93552
6.2011.500m,500m,7.3227,,,6.003615,0.3812,34.3065,0.51372,0.40336
7.2011.500m,500m,,,,5.398616,,,0.30393,0.35138
8.2011.500m,500m,6.8599,,,5.421209,0.39082,34.3059,0.30992,0.34248
9.2011.500m,500m,,,,4.0771356,,,0.40121,0.43033
10.2011.500m,500m,6.7343,,,2.6080685,0.15748,34.3074,0.56398,0.30684
11.2011.500m,500m,6.4297,,,6.738521,0.10708,34.3155,0.35273,0.36797
12.2011.500m,500m,6.4968,,,5.346955,0.11991,34.31,0.32284,0.31539
1.2012.500m,500m,6.5465,,,40.388096,0.18568,34.3202,0.65196,1.2374
2.2012.500m,500m,6.417,,,10.09675,0.1743,34.3223,0.63298,0.70594
3.2012.500m,500m,6.4348,,,194.23975,0.22554,34.3106,2.056,1.02568
4.2012.500m,500m,,,,,,,1.48303,
5.2012.500m,500m,,,,16.075497,,,0.4251,0.74344
6.2012.500m,500m,6.8276,,,224.46512,0.35113,34.3115,0.29173,0.26123
7.2012.500m,500m,6.7331,,,4.209793,0.38705,34.2976,0.2901,0.22492
8.2012.500m,500m,7.0382,,,1.036051,0.39427,34.3092,0.18505,0.1993
9.2012.500m,500m,6.8945,,,2.858858,0.35083,34.3022,0.16426,0.15107
10.2012.500m,500m,6.4082,,,2.8027546,0.25064,34.3166,0.19697,0.18863
11.2012.500m,500m,6.6545,,,8.442102,0.27752,34.308,0.27236,0.13468
12.2012.500m,500m,6.6545,,,1.8604612,0.27752,34.308,0.26456,0.23167
1.2013.500m,500m,6.4062,,,57.092552,0.28063,34.3136,0.85673,0.77221
2.2013.500m,500m,6.4665,,,19.321674,0.32265,34.3019,0.59356,0.60653
3.2013.500m,500m,6.4044,,,60.546528,0.29108,34.306,0.89902,1.05908
4.2013.500m,500m,6.4429,,,14.16854,0.31543,34.2975,1.21447,0.61386
5.2013.500m,500m,6.5912,,,10.417104,0.38856,34.2882,0.4447,0.34579
6.2013.500m,500m,6.6741,,,3.2765968,0.38168,34.2897,0.32601,0.32864
7.2013.500m,500m,6.9318,,,6.2558045,0.43438,34.2807,0.23447,0.28346
8.2013.500m,500m,6.685,,,4.9886007,0.36267,34.2884,0.2652,0.27662
9.2013.500m,500m,6.8624,,,2.4531872,0.38641,34.2845,0.31346,0.35724
10.2013.500m,500m,6.5834,,,4.671314,0.31709,34.2961,,0.24067
11.2013.500m,500m,6.5952,,,3.6731987,0.32902,34.2934,,
12.2013.500m,500m,6.4297,,,1.7749363,,,,
2.2009.890m,890m,5.1043,,,259.638409,0.02021,34.39293,1.11265,1.94016
3.2009.890m,890m,5.12327,,,129.929596,0.01409,34.39247,2.77179,0.5918
4.2009.890m,890m,5.1421,,,106.5675,-0.00565,34.3906,0.6783,0.42073
5.2009.890m,890m,5.14603,,,92.625101,-0.0196,34.3901,0.42285,0.39538
6.2009.890m,890m,5.15967,,,67.723211,-0.03043,34.38857,0.30158,0.22912
7.2009.890m,890m,5.16987,,,198.769225,-0.03372,34.38747,3.48242,5.76131
8.2009.890m,890m,5.19,,,112.136042,-0.04,34.39,0.42942,0.45108
9.2009.890m,890m,5.19,,,71.539853,-0.06,34.39,0.32865,0.22401
10.2009.890m,890m,,,,64.26432,,,0.22838,0.21567
11.2009.890m,890m,,,,70.423419,,,0.25893,0.28154
12.2009.890m,890m,,,,129.81653,,,0.4745,0.67679
1.2010.890m,890m,5.2,,,235.195687,,34.4,1.1163,2.12981
2.2010.890m,890m,5.169,,,109.939653,,34.39,0.65365,0.63286
3.2010.890m,890m,5.19,,,393.462114,,34.39,1.93465,0.83162
4.2010.890m,890m,5.14457,,,174.099885,0.00086,34.39297,0.68272,0.71904
5.2010.890m,890m,5.1796,,,182.214096,0.0423,34.3898,1.30468,1.31575
6.2010.890m,890m,,,,100.77816,,,0.30893,0.37905
7.2010.890m,890m,5.17167,,,137.67908,-0.01913,34.38937,0.67807,1.02913
8.2010.890m,890m,5.1793,,,98.57449,-0.05165,34.3881,0.71412,0.40244
9.2010.890m,890m,,,,242.752859,,,0.92392,1.09982
10.2010.890m,890m,5.1277,,,95.190036,0.01246,34.38767,0.4274,
11.2010.890m,890m,5.1646,,,102.197743,-0.01767,34.38863,0.97637,0.44836
12.2010.890m,890m,5.09697,,,144.293246,-0.00361,34.3964,1.46838,0.82259
1.2011.890m,890m,5.1413,,,465.40997,-0.01563,34.39323,7.32448,21.77576
2.2011.890m,890m,,,,11.484264,,,1.07052,1.32458
3.2011.890m,890m,5.1637,,,70.52767,-0.00841,34.3926,5.02717,1.3618
4.2011.890m,890m,5.1793,,,7.1656647,-0.02267,34.3928,0.81342,0.8034
5.2011.890m,890m,5.1918,,,17.78177,-0.02818,34.392,0.84082,0.93552
6.2011.890m,890m,5.2106,,,6.003615,-0.02819,34.3915,0.51372,0.40336
7.2011.890m,890m,,,,5.398616,,,0.30393,0.35138
8.2011.890m,890m,5.237,,,5.421209,-0.01222,34.39,0.30992,0.34248
9.2011.890m,890m,,,,4.0771356,,,0.40121,0.43033
10.2011.890m,890m,5.2296,,,2.6080685,-0.11065,34.3905,0.56398,0.30684
11.2011.890m,890m,5.1489,,,6.738521,-0.05845,34.3947,0.35273,0.36797
12.2011.890m,890m,5.1332,,,5.346955,-0.0519,34.3948,0.32284,0.31539
1.2012.890m,890m,5.1745,,,40.388096,-0.00717,34.403,0.65196,1.2374
2.2012.890m,890m,5.1675,,,10.09675,-0.02306,34.4039,0.63298,0.70594
3.2012.890m,890m,5.176,,,194.23975,-0.00717,34.4024,2.056,1.02568
4.2012.890m,890m,,,,,,,1.48303,
5.2012.890m,890m,,,,16.075497,,,0.4251,0.74344
6.2012.890m,890m,5.2023,,,224.46512,0.06999,34.3953,0.29173,0.26123
7.2012.890m,890m,5.2192,,,4.209793,0.06807,34.3936,0.2901,0.22492
8.2012.890m,890m,5.2157,,,1.036051,0.05369,34.394,0.18505,0.1993
9.2012.890m,890m,5.2087,,,2.858858,0.05048,34.3924,0.16426,0.15107
10.2012.890m,890m,5.2082,,,2.8027546,0.04302,34.3919,0.19697,0.18863
11.2012.890m,890m,5.1105,,,8.442102,0.14272,34.3982,0.27236,0.13468
12.2012.890m,890m,5.1105,,,1.8604612,0.14272,34.3982,0.26456,0.23167
1.2013.890m,890m,5.1382,,,57.092552,0.10227,34.3964,0.85673,0.77221
2.2013.890m,890m,5.1583,,,19.321674,0.10686,34.3946,0.59356,0.60653
3.2013.890m,890m,5.1566,,,60.546528,0.07712,34.3939,0.89902,1.05908
4.2013.890m,890m,5.1597,,,14.16854,0.09305,34.3913,1.21447,0.61386
5.2013.890m,890m,5.1716,,,10.417104,0.06697,34.3902,0.4447,0.34579
6.2013.890m,890m,5.1845,,,3.2765968,0.06443,34.3919,0.32601,0.32864
7.2013.890m,890m,5.1922,,,6.2558045,0.04804,34.3915,0.23447,0.28346
8.2013.890m,890m,5.2099,,,4.9886007,0.04788,34.39,0.2652,0.27662
9.2013.890m,890m,5.2107,,,2.4531872,0.04425,34.3896,0.31346,0.35724
10.2013.890m,890m,5.223,,,4.671314,0.04428,34.3873,,0.24067
11.2013.890m,890m,5.2182,,,3.6731987,0.06302,34.3869,,
12.2013.890m,890m,,,,1.7749363,,,,
2.2009.DCM,DCM,13.595,1.481,0.16,259.638409,3.57906,33.34565,1.11265,1.94016
3.2009.DCM,DCM,13.50645,1.019,0.263666,129.929596,4.1564,33.3358,2.77179,0.5918
4.2009.DCM,DCM,12.62035,28.505,1.45,106.5675,3.74448,33.5239,0.6783,0.42073
5.2009.DCM,DCM,11.96795,9.491,0.68,92.625101,3.50679,33.46235,0.42285,0.39538
6.2009.DCM,DCM,12.37975,5.21,0.33,67.723211,3.5991,33.39635,0.30158,0.22912
7.2009.DCM,DCM,14.83645,0.381,0.32,198.769225,4.5457,33.51865,3.48242,5.76131
8.2009.DCM,DCM,16.0,0.039,0.17,112.136042,5.0,33.4,0.42942,0.45108
9.2009.DCM,DCM,15.4,0.223,0.24,71.539853,4.8,33.3,0.32865,0.22401
10.2009.DCM,DCM,,,,64.26432,,,0.22838,0.21567
11.2009.DCM,DCM,,,,70.423419,,,0.25893,0.28154
12.2009.DCM,DCM,,,,129.81653,,,0.4745,0.67679
1.2010.DCM,DCM,14.9,,,235.195687,,33.1,1.1163,2.12981
2.2010.DCM,DCM,15.0,0.688,0.31,109.939653,,33.32,0.65365,0.63286
3.2010.DCM,DCM,14.78,,,393.462114,,33.3,1.93465,0.83162
4.2010.DCM,DCM,11.9,,,174.099885,4.07,33.3,0.68272,0.71904
5.2010.DCM,DCM,14.29695,0.5695,0.175,182.214096,5.36332,33.439,1.30468,1.31575
6.2010.DCM,DCM,,,,100.77816,,,0.30893,0.37905
7.2010.DCM,DCM,14.442,0.193,0.225,137.67908,5.33482,33.43245,0.67807,1.02913
8.2010.DCM,DCM,13.4391,7.031,0.44,98.57449,4.76332,33.40675,0.71412,0.40244
9.2010.DCM,DCM,,,,242.752859,,,0.92392,1.09982
10.2010.DCM,DCM,16.36585,1.112,0.225,95.190036,3.91558,33.50485,0.4274,
11.2010.DCM,DCM,14.3998,1.398,0.21,102.197743,3.69038,33.3461,0.97637,0.44836
12.2010.DCM,DCM,14.5466,0.086,0.3,144.293246,4.03172,33.3945,1.46838,0.82259
1.2011.DCM,DCM,,1.275766,0.879416,465.40997,,,7.32448,21.77576
2.2011.DCM,DCM,,,,11.484264,,,1.07052,1.32458
3.2011.DCM,DCM,12.5156,0.113859,0.143192,70.52767,4.67726,33.5251,5.02717,1.3618
4.2011.DCM,DCM,16.1,0.0,0.201932518,7.1656647,3.51171,33.3995,0.81342,0.8034
5.2011.DCM,DCM,15.0016,3.841767906,0.600936754,17.78177,3.71199,33.3995,0.84082,0.93552
6.2011.DCM,DCM,13.6098,3.141342756,0.5195486,6.003615,3.27074,33.4572,0.51372,0.40336
7.2011.DCM,DCM,,,,5.398616,,,0.30393,0.35138
8.2011.DCM,DCM,14.2355,1.966896447,0.434668612,5.421209,3.32555,33.2686,0.30992,0.34248
9.2011.DCM,DCM,,,,4.0771356,,,0.40121,0.43033
10.2011.DCM,DCM,,0.226999342,0.250356308,2.6080685,,,0.56398,0.30684
11.2011.DCM,DCM,,,,6.738521,,,0.35273,0.36797
12.2011.DCM,DCM,,0.474964986,0.29775111,5.346955,,,0.32284,0.31539
1.2012.DCM,DCM,14.3456,,,40.388096,6.27098,33.328,0.65196,1.2374
2.2012.DCM,DCM,14.3756,0.682423002,0.338683064,10.09675,5.81466,33.3996,0.63298,0.70594
3.2012.DCM,DCM,12.8175,2.397652017,0.430492136,194.23975,4.71948,33.4586,2.056,1.02568
4.2012.DCM,DCM,,,,,,,1.48303,
5.2012.DCM,DCM,,,,16.075497,,,0.4251,0.74344
6.2012.DCM,DCM,14.5568,2.357997769,0.468082323,224.46512,5.88461,33.5527,0.29173,0.26123
7.2012.DCM,DCM,13.5237,,,4.209793,5.89741,33.44,0.2901,0.22492
8.2012.DCM,DCM,13.8208,0.05327053,0.288362652,1.036051,5.87158,33.2982,0.18505,0.1993
9.2012.DCM,DCM,13.172,1.746287775,0.633829333,2.858858,5.32934,33.3427,0.16426,0.15107
10.2012.DCM,DCM,13.2615,1.40001583,0.45173296,2.8027546,4.99975,33.4147,0.19697,0.18863
11.2012.DCM,DCM,14.7192,,,8.442102,5.56846,33.3593,0.27236,0.13468
12.2012.DCM,DCM,16.3921,2.076062787,0.316369,1.8604612,5.47083,33.5144,0.26456,0.23167
1.2013.DCM,DCM,12.8209,2.841399372,0.372967,57.092552,5.67342,33.4966,0.85673,0.77221
2.2013.DCM,DCM,13.7213,0.368094645,0.23586,19.321674,5.7247,33.4915,0.59356,0.60653
3.2013.DCM,DCM,13.723,0.139287027,0.207863,60.546528,6.14869,33.5134,0.89902,1.05908
4.2013.DCM,DCM,12.4337,0.691401012,0.323098,14.16854,4.26162,33.576,1.21447,0.61386
5.2013.DCM,DCM,12.7174,4.593298526,0.485675,10.417104,5.42913,33.442,0.4447,0.34579
6.2013.DCM,DCM,13.1734,1.243930327,0.286952,3.2765968,5.47438,33.5076,0.32601,0.32864
7.2013.DCM,DCM,12.0234,,0.450391,6.2558045,4.91763,33.5089,0.23447,0.28346
8.2013.DCM,DCM,13.2448,0.30843778,0.270778,4.9886007,5.87184,33.4672,0.2652,0.27662
9.2013.DCM,DCM,12.2091,6.489877042,0.620326,2.4531872,5.01187,33.4323,0.31346,0.35724
10.2013.DCM,DCM,13.3474,3.122668216,0.440563,4.671314,5.71725,33.3443,,0.24067
11.2013.DCM,DCM,13.6447,1.0031202,0.404203,3.6731987,5.35239,33.3617,,
12.2013.DCM,DCM,,0.79338498,0.339001,1.7749363,,,,
