Sample,Temperature,Depth,Salinity,Longitude,Latitude,Filter Fraction
ERR1103034,27.3653,60,37.3905,-33.7298,-18.6455,a
ERR1103035,24.4367,100,37.2117,-33.7298,-18.6455,a
ERR1103036,19.9102,200,36.369,-33.7298,-18.6455,a
ERR1103037,26.8872,20,37.2398,-31.8615,-15.5217,a
ERR1103038,26.7653,40,37.2286,-31.8615,-15.5217,a
ERR1103039,26.7423,60,37.2383,-31.8615,-15.5217,a
ERR1103040,24.7379,100,37.1558,-31.8615,-15.5217,a
ERR1103041,23.1666,150,36.9895,-31.8615,-15.5217,a
ERR1103042,19.607,200,36.2963,-31.8615,-15.5217,a
ERR1103043,27.2742,20,37.0136,-29.7515,-11.8977,a
ERR1103044,27.1347,60,37.0682,-29.7515,-11.8977,a
ERR1103045,24.4276,100,37.1049,-29.7515,-11.8977,a
ERR1103046,21.5887,140,36.6626,-29.7515,-11.8977,a
ERR1103047,16.4964,200,35.7506,-29.7515,-11.8977,a
ERR1103048,28.0165,20,36.2853,-27.9922,-8.2145,a
ERR1103049,27.8612,60,36.5561,-27.9922,-8.2145,a
ERR1103050,25.4264,90,36.9867,-27.9922,-8.2145,a
ERR1103051,23.2089,120,36.8801,-27.9922,-8.2145,a
ERR1103052,15.1564,200,35.5809,-27.9922,-8.2145,a
ERR1103053,28.0082,20,35.9697,-26.639,-5.0972,a
ERR1103054,27.9997,60,35.9739,-26.639,-5.0972,a
ERR1103055,22.8323,95,36.2681,-26.639,-5.0972,a
ERR1103056,11.3401,200,35.0866,-26.639,-5.0972,a
ERR1103057,27.8306,20,35.9767,-25.318,-1.4865,a
ERR1103058,26.6751,40,36.3967,-25.318,-1.4865,a
ERR1103059,23.4864,65,36.3183,-25.318,-1.4865,a
ERR1103060,14.8372,100,35.5089,-25.318,-1.4865,a
ERR1103061,12.4379,200,35.2037,-25.318,-1.4865,a
ERR1103062,26.9168,20,35.7478,-23.4817,6.059,a
ERR1103063,21.1138,37,35.9389,-23.4817,6.059,a
ERR1103064,16.8352,60,35.7134,-23.4817,6.059,a
ERR1103065,16.0261,100,35.6532,-23.4817,6.059,a
ERR1103066,13.7297,200,35.3806,-23.4817,6.059,a
ERR1103067,25.5311,20,36.0062,-22.7722,9.4075,a
ERR1103068,25.2845,40,35.9901,-22.7722,9.4075,a
ERR1103069,20.094,50,35.8542,-22.7722,9.4075,a
ERR1103070,14.3409,100,35.4633,-22.7722,9.4075,a
ERR1103071,12.079,200,35.1908,-22.7722,9.4075,a
ERR1103072,22.8632,25,35.7762,-22.1955,12.5898,a
ERR1103073,18.0026,40,35.6703,-22.1955,12.5898,a
ERR1103074,16.1684,60,35.6293,-22.1955,12.5898,a
ERR1103075,14.8,100,35.5119,-22.1955,12.5898,a
ERR1103076,12.5921,200,35.2964,-22.1955,12.5898,a
ERR1103077,21.4192,20,36.2059,-21.5685,16.9043,a
ERR1103078,21.3717,40,36.2138,-21.5685,16.9043,a
ERR1103079,20.4834,60,36.2559,-21.5685,16.9043,a
ERR1103080,20.7737,20,36.8149,-21.17,20.7047,a
ERR1103081,20.7655,40,36.8143,-21.17,20.7047,a
ERR1103082,20.7552,60,36.814,-21.17,20.7047,a
ERR1103083,19.5214,80,36.7387,-21.17,20.7047,a
ERR1103084,19.3643,100,36.7557,-21.17,20.7047,a
ERR1103085,17.0189,200,36.3069,-21.17,20.7047,a
ERR1103086,19.6505,20,36.6113,-19.8675,24.3958,a
ERR1103087,19.6181,40,36.6461,-19.8675,24.3958,a
ERR1103088,19.6339,60,36.7825,-19.8675,24.3958,a
ERR1103089,18.9727,100,36.8316,-19.8675,24.3958,a
ERR1103090,16.9663,200,36.3932,-19.8675,24.3958,a
ERR1103091,19.8147,20,36.8864,-17.312,26.3482,a
ERR1103092,18.8055,70,36.8055,-17.312,26.3482,a
ERR1103093,18.5791,100,36.817,-17.312,26.3482,a
ERR1103094,17.3808,200,36.5829,-17.312,26.3482,a
ERR1103095,17.7496,20,36.6019,-13.5343,33.3978,a
ERR1103096,17.4828,40,36.5778,-13.5343,33.3978,a
ERR1103097,17.4019,60,36.5714,-13.5343,33.3978,a
ERR1103098,17.0855,85,36.5151,-13.5343,33.3978,a
ERR1103099,15.0648,200,36.1523,-13.5343,33.3978,a
ERR1103100,17.9629,20,36.5965,-12.8973,35.2387,a
ERR1103101,17.7136,40,36.5965,-12.8973,35.2387,a
ERR1103102,17.5229,55,36.5745,-12.8973,35.2387,a
ERR1103103,16.6938,100,36.4127,-12.8973,35.2387,a
ERR1103104,14.5742,200,36.0059,-12.8973,35.2387,a
ERR1103105,16.3227,20,36.3022,-12.6088,38.745,a
ERR1103106,16.0821,44,36.3946,-12.6088,38.745,a
ERR1103107,16.0203,60,36.388,-12.6088,38.745,a
ERR1103108,15.4726,100,36.3033,-12.6088,38.745,a
ERR1103109,14.793,200,36.1697,-12.6088,38.745,a
ERR1103110,13.7473,20,35.7863,-10.935,43.0423,a
ERR1103111,13.6847,40,35.7866,-10.935,43.0423,a
ERR1103112,12.8448,60,35.7579,-10.935,43.0423,a
ERR1103113,12.8585,100,35.8014,-10.935,43.0423,a
ERR1103114,12.2685,200,35.7122,-10.935,43.0423,a
ERR1103115,12.582,20,35.6486,-8.0905,47.0438,a
ERR1103116,12.4765,40,35.6494,-8.0905,47.0438,a
ERR1103117,11.9942,60,35.6758,-8.0905,47.0438,a
ERR1103118,11.9942,100,35.6787,-8.0905,47.0438,a
ERR1103119,11.8041,200,35.6533,-8.0905,47.0438,a
ERR1103120,8.1406,20,33.0005,-66.4633,-51.0557,b
ERR1103121,8.1243,40,33.0021,-66.4633,-51.0557,b
ERR1103122,8.0777,60,33.0078,-66.4633,-51.0557,b
ERR1103123,8.0737,100,33.0087,-66.4633,-51.0557,b
ERR1103124,10.3461,20,33.4922,-61.9227,-47.9412,b
ERR1103125,9.7624,40,33.5756,-61.9227,-47.9412,b
ERR1103126,8.2321,60,33.5577,-61.9227,-47.9412,b
ERR1103127,6.1671,100,33.6264,-61.9227,-47.9412,b
ERR1103128,11.5468,20,34.0542,-58.1635,-45.0943,b
ERR1103129,11.0191,40,34.0192,-58.1635,-45.0943,b
ERR1103130,9.8878,60,33.9984,-58.1635,-45.0943,b
ERR1103131,4.5381,100,33.9945,-58.1635,-45.0943,b
ERR1103132,2.6401,200,34.0522,-58.1635,-45.0943,b
ERR1103133,19.4843,20,35.3147,-50.577,-39.7982,b
ERR1103134,20.4096,40,35.7692,-50.577,-39.7982,b
ERR1103135,20.1638,60,35.7227,-50.577,-39.7982,b
ERR1103136,17.9377,100,35.6648,-50.577,-39.7982,b
ERR1103137,15.6561,200,35.6315,-50.577,-39.7982,b
ERR1103138,22.1354,20,35.8433,-42.965,-34.2385,b
ERR1103139,22.0009,40,35.8365,-42.965,-34.2385,b
ERR1103140,19.1143,60,35.8635,-42.965,-34.2385,b
ERR1103141,17.8985,75,35.9067,-42.965,-34.2385,b
ERR1103142,16.7723,100,35.8273,-42.965,-34.2385,b
ERR1103143,15.4926,200,35.6843,-42.965,-34.2385,b
ERR1103144,22.6333,20,35.7513,-38.9948,-30.9992,b
ERR1103145,22.3857,40,35.6741,-38.9948,-30.9992,b
ERR1103146,18.5791,70,35.9011,-38.9948,-30.9992,b
ERR1103147,17.04,100,35.861,-38.9948,-30.9992,b
ERR1103148,15.233,200,35.5957,-38.9948,-30.9992,b
ERR1103149,25.9999,20,36.7662,-39.0007,-25.9983,b
ERR1103150,25.9995,40,36.7657,-39.0007,-25.9983,b
ERR1103151,25.0496,60,36.7622,-39.0007,-25.9983,b
ERR1103152,22.3247,100,36.8817,-39.0007,-25.9983,b
ERR1103153,19.6619,150,36.3388,-39.0007,-25.9983,b
ERR1103154,17.1958,200,35.8555,-39.0007,-25.9983,b
ERR1103155,26.5834,20,37.0697,-38.0183,-24.7537,b
ERR1103156,26.5726,40,37.0698,-38.0183,-24.7537,b
ERR1103157,25.4363,60,37.2761,-38.0183,-24.7537,b
ERR1103158,23.883,100,37.1826,-38.0183,-24.7537,b
ERR1103159,18.8261,200,36.1394,-38.0183,-24.7537,b
ERR1103160,27.1538,20,37.3155,-35.402,-21.2293,b
ERR1103161,22.9328,120,37.0179,-35.402,-21.2293,b
ERR1103162,27.377,20,37.3907,-33.7298,-18.6455,b
ERR1103163,27.3656,40,37.3905,-33.7298,-18.6455,b
ERR1103164,27.3653,60,37.3905,-33.7298,-18.6455,b
ERR1103165,24.4367,100,37.2117,-33.7298,-18.6455,b
ERR1103166,19.9102,200,36.369,-33.7298,-18.6455,b
ERR1103167,26.8872,20,37.2398,-31.8615,-15.5217,b
ERR1103168,26.7653,40,37.2286,-31.8615,-15.5217,b
ERR1103169,26.7423,60,37.2383,-31.8615,-15.5217,b
ERR1103170,24.7379,100,37.1558,-31.8615,-15.5217,b
ERR1103171,23.1666,150,36.9895,-31.8615,-15.5217,b
ERR1103172,19.607,200,36.2963,-31.8615,-15.5217,b
ERR1103173,27.2742,20,37.0136,-29.7515,-11.8977,b
ERR1103174,27.1347,60,37.0682,-29.7515,-11.8977,b
ERR1103175,24.4276,100,37.1049,-29.7515,-11.8977,b
ERR1103176,21.5887,140,36.6626,-29.7515,-11.8977,b
ERR1103177,16.4964,200,35.7506,-29.7515,-11.8977,b
ERR1103178,28.0165,20,36.2853,-27.9922,-8.2145,b
ERR1103179,27.8612,60,36.5561,-27.9922,-8.2145,b
ERR1103180,25.4264,90,36.9867,-27.9922,-8.2145,b
ERR1103181,23.2089,120,36.8801,-27.9922,-8.2145,b
ERR1103182,15.1564,200,35.5809,-27.9922,-8.2145,b
ERR1103183,28.0082,20,35.9697,-26.639,-5.0972,b
ERR1103184,27.9997,60,35.9739,-26.639,-5.0972,b
ERR1103185,22.8323,95,36.2681,-26.639,-5.0972,b
ERR1103186,11.3401,200,35.0866,-26.639,-5.0972,b
ERR1103187,27.8306,20,35.9767,-25.318,-1.4865,b
ERR1103188,26.6751,40,36.3967,-25.318,-1.4865,b
ERR1103189,23.4864,65,36.3183,-25.318,-1.4865,b
ERR1103190,14.8372,100,35.5089,-25.318,-1.4865,b
ERR1103191,26.9168,20,35.7478,-23.4817,6.059,b
ERR1103192,21.1138,37,35.9389,-23.4817,6.059,b
ERR1103193,16.8352,60,35.7134,-23.4817,6.059,b
ERR1103194,16.0261,100,35.6532,-23.4817,6.059,b
ERR1103195,13.7297,200,35.3806,-23.4817,6.059,b
ERR1103196,25.5311,20,36.0062,-22.7722,9.4075,b
ERR1103197,25.2845,40,35.9901,-22.7722,9.4075,b
ERR1103198,14.3409,100,35.4633,-22.7722,9.4075,b
ERR1103199,12.079,200,35.1908,-22.7722,9.4075,b
ERR1103200,22.8632,25,35.7762,-22.1955,12.5898,b
ERR1103201,18.0026,40,35.6703,-22.1955,12.5898,b
ERR1103202,16.1684,60,35.6293,-22.1955,12.5898,b
ERR1103203,14.8,100,35.5119,-22.1955,12.5898,b
ERR1103204,12.5921,200,35.2964,-22.1955,12.5898,b
ERR1103205,21.4192,20,36.2059,-21.5685,16.9043,b
ERR1103206,21.3717,40,36.2138,-21.5685,16.9043,b
ERR1103207,20.4834,60,36.2559,-21.5685,16.9043,b
ERR1103208,15.65,100,35.74,-21.5685,16.9043,b
ERR1103209,13.76,200,35.64,-21.5685,16.9043,b
ERR1103210,20.7737,20,36.8149,-21.17,20.7047,b
ERR1103211,20.7655,40,36.8143,-21.17,20.7047,b
ERR1103212,20.7552,60,36.814,-21.17,20.7047,b
ERR1103213,19.5214,80,36.7387,-21.17,20.7047,b
ERR1103214,19.3643,100,36.7557,-21.17,20.7047,b
ERR1103215,17.0189,200,36.3069,-21.17,20.7047,b
ERR1103216,19.6505,20,36.6113,-19.8675,24.3958,b
ERR1103217,19.6181,40,36.6461,-19.8675,24.3958,b
ERR1103218,19.6339,60,36.7825,-19.8675,24.3958,b
ERR1103219,18.9727,100,36.8316,-19.8675,24.3958,b
ERR1103220,16.9663,200,36.3932,-19.8675,24.3958,b
ERR1103221,19.8147,20,36.8864,-17.312,26.3482,b
ERR1103222,18.8055,70,36.8055,-17.312,26.3482,b
ERR1103223,18.5791,100,36.817,-17.312,26.3482,b
ERR1103224,17.3808,200,36.5829,-17.312,26.3482,b
ERR1103225,17.9629,20,36.5965,-12.8973,35.2387,b
ERR1103226,17.7136,40,36.5965,-12.8973,35.2387,b
ERR1103227,17.5229,55,36.5745,-12.8973,35.2387,b
ERR1103228,16.6938,100,36.4127,-12.8973,35.2387,b
ERR1103229,14.5742,200,36.0059,-12.8973,35.2387,b
ERR1103230,16.3227,20,36.3022,-12.6088,38.745,b
ERR1103231,16.0821,44,36.3946,-12.6088,38.745,b
ERR1103232,16.0203,60,36.388,-12.6088,38.745,b
ERR1103233,15.4726,100,36.3033,-12.6088,38.745,b
ERR1103234,14.793,200,36.1697,-12.6088,38.745,b
ERR1103235,13.7473,20,35.7863,-10.935,43.0423,b
ERR1103236,13.6847,40,35.7866,-10.935,43.0423,b
ERR1103237,12.8448,60,35.7579,-10.935,43.0423,b
ERR1103238,12.8585,100,35.8014,-10.935,43.0423,b
ERR1103239,12.2685,200,35.7122,-10.935,43.0423,b
ERR1103240,12.582,20,35.6486,-8.0905,47.0438,b
ERR1103241,12.4765,40,35.6494,-8.0905,47.0438,b
ERR1103242,11.9942,60,35.6758,-8.0905,47.0438,b
ERR1103243,11.9942,100,35.6787,-8.0905,47.0438,b
ERR1103244,11.8041,200,35.6533,-8.0905,47.0438,b
ERR1103245,8.1406,20,33.0005,-66.4633,-51.0557,c
ERR1103246,8.1243,40,33.0021,-66.4633,-51.0557,c
ERR1103247,8.0777,60,33.0078,-66.4633,-51.0557,c
ERR1103248,8.0737,100,33.0087,-66.4633,-51.0557,c
ERR1103249,10.3461,20,33.4922,-61.9227,-47.9412,c
ERR1103250,9.7624,40,33.5756,-61.9227,-47.9412,c
ERR1103251,8.2321,60,33.5577,-61.9227,-47.9412,c
ERR1103252,6.1671,100,33.6264,-61.9227,-47.9412,c
ERR1103253,11.5468,20,34.0542,-58.1635,-45.0943,c
ERR1103254,11.0191,40,34.0192,-58.1635,-45.0943,c
ERR1103255,9.8878,60,33.9984,-58.1635,-45.0943,c
ERR1103256,4.5381,100,33.9945,-58.1635,-45.0943,c
ERR1103257,2.6401,200,34.0522,-58.1635,-45.0943,c
ERR1103258,19.4843,20,35.3147,-50.577,-39.7982,c
ERR1103259,20.4096,40,35.7692,-50.577,-39.7982,c
ERR1103260,20.1638,60,35.7227,-50.577,-39.7982,c
ERR1103261,17.9377,100,35.6648,-50.577,-39.7982,c
ERR1103262,15.6561,200,35.6315,-50.577,-39.7982,c
ERR1103263,22.1354,20,35.8433,-42.965,-34.2385,c
ERR1103264,22.0009,40,35.8365,-42.965,-34.2385,c
ERR1103265,19.1143,60,35.8635,-42.965,-34.2385,c
ERR1103266,17.8985,75,35.9067,-42.965,-34.2385,c
ERR1103267,16.7723,100,35.8273,-42.965,-34.2385,c
ERR1103268,15.4926,200,35.6843,-42.965,-34.2385,c
ERR1103269,22.6333,20,35.7513,-38.9948,-30.9992,c
ERR1103270,22.3857,40,35.6741,-38.9948,-30.9992,c
ERR1103271,18.5791,70,35.9011,-38.9948,-30.9992,c
ERR1103272,17.04,100,35.861,-38.9948,-30.9992,c
ERR1103273,15.233,200,35.5957,-38.9948,-30.9992,c
ERR1103274,25.9999,20,36.7662,-39.0007,-25.9983,c
ERR1103275,25.9995,40,36.7657,-39.0007,-25.9983,c
ERR1103276,25.0496,60,36.7622,-39.0007,-25.9983,c
ERR1103277,22.3247,100,36.8817,-39.0007,-25.9983,c
ERR1103278,19.6619,150,36.3388,-39.0007,-25.9983,c
ERR1103279,17.1958,200,35.8555,-39.0007,-25.9983,c
ERR1103280,26.5834,20,37.0697,-38.0183,-24.7537,c
ERR1103281,26.5726,40,37.0698,-38.0183,-24.7537,c
ERR1103282,25.4363,60,37.2761,-38.0183,-24.7537,c
ERR1103283,23.883,100,37.1826,-38.0183,-24.7537,c
ERR1103284,18.8261,200,36.1394,-38.0183,-24.7537,c
ERR1103285,27.1538,20,37.3155,-35.402,-21.2293,c
ERR1103286,22.9328,120,37.0179,-35.402,-21.2293,c
ERR1103287,27.377,20,37.3907,-33.7298,-18.6455,c
ERR1103288,27.3656,40,37.3905,-33.7298,-18.6455,c
ERR1103289,27.3653,60,37.3905,-33.7298,-18.6455,c
ERR1103290,24.4367,100,37.2117,-33.7298,-18.6455,c
ERR1103291,19.9102,200,36.369,-33.7298,-18.6455,c
ERR1103292,26.8872,20,37.2398,-31.8615,-15.5217,c
ERR1103293,26.7653,40,37.2286,-31.8615,-15.5217,c
ERR1103294,26.7423,60,37.2383,-31.8615,-15.5217,c
ERR1103295,24.7379,100,37.1558,-31.8615,-15.5217,c
ERR1103296,23.1666,150,36.9895,-31.8615,-15.5217,c
ERR1103297,19.607,200,36.2963,-31.8615,-15.5217,c
ERR1103298,27.2742,20,37.0136,-29.7515,-11.8977,c
ERR1103299,27.1347,60,37.0682,-29.7515,-11.8977,c
ERR1103300,24.4276,100,37.1049,-29.7515,-11.8977,c
ERR1103301,21.5887,140,36.6626,-29.7515,-11.8977,c
ERR1103302,16.4964,200,35.7506,-29.7515,-11.8977,c
ERR1103303,28.0165,20,36.2853,-27.9922,-8.2145,c
ERR1103304,27.8612,60,36.5561,-27.9922,-8.2145,c
ERR1103305,25.4264,90,36.9867,-27.9922,-8.2145,c
ERR1103306,23.2089,120,36.8801,-27.9922,-8.2145,c
ERR1103307,15.1564,200,35.5809,-27.9922,-8.2145,c
ERR1103308,28.0082,20,35.9697,-26.639,-5.0972,c
ERR1103309,27.9997,60,35.9739,-26.639,-5.0972,c
ERR1103310,22.8323,95,36.2681,-26.639,-5.0972,c
ERR1103311,11.3401,200,35.0866,-26.639,-5.0972,c
ERR1103312,27.8306,20,35.9767,-25.318,-1.4865,c
ERR1103313,26.6751,40,36.3967,-25.318,-1.4865,c
ERR1103314,23.4864,65,36.3183,-25.318,-1.4865,c
ERR1103315,14.8372,100,35.5089,-25.318,-1.4865,c
ERR1103316,12.4379,200,35.2037,-25.318,-1.4865,c
ERR1103317,26.9168,20,35.7478,-23.4817,6.059,c
ERR1103318,21.1138,37,35.9389,-23.4817,6.059,c
ERR1103319,16.8352,60,35.7134,-23.4817,6.059,c
ERR1103320,16.0261,100,35.6532,-23.4817,6.059,c
ERR1103321,25.5311,20,36.0062,-22.7722,9.4075,c
ERR1103322,25.2845,40,35.9901,-22.7722,9.4075,c
ERR1103323,20.094,50,35.8542,-22.7722,9.4075,c
ERR1103324,12.079,200,35.1908,-22.7722,9.4075,c
ERR1103325,22.8632,25,35.7762,-22.1955,12.5898,c
ERR1103326,18.0026,40,35.6703,-22.1955,12.5898,c
ERR1103327,16.1684,60,35.6293,-22.1955,12.5898,c
ERR1103328,14.8,100,35.5119,-22.1955,12.5898,c
ERR1103329,12.5921,200,35.2964,-22.1955,12.5898,c
ERR1103330,21.4192,20,36.2059,-21.5685,16.9043,c
ERR1103331,21.3717,40,36.2138,-21.5685,16.9043,c
ERR1103332,20.4834,60,36.2559,-21.5685,16.9043,c
ERR1103333,15.65,100,35.74,-21.5685,16.9043,c
ERR1103334,13.76,200,35.64,-21.5685,16.9043,c
ERR1103335,20.7737,20,36.8149,-21.17,20.7047,c
ERR1103336,20.7655,40,36.8143,-21.17,20.7047,c
ERR1103337,20.7552,60,36.814,-21.17,20.7047,c
ERR1103338,19.5214,80,36.7387,-21.17,20.7047,c
ERR1103339,19.3643,100,36.7557,-21.17,20.7047,c
ERR1103340,17.0189,200,36.3069,-21.17,20.7047,c
ERR1103341,19.6505,20,36.6113,-19.8675,24.3958,c
ERR1103342,19.6181,40,36.6461,-19.8675,24.3958,c
ERR1103343,19.6339,60,36.7825,-19.8675,24.3958,c
ERR1103344,18.9727,100,36.8316,-19.8675,24.3958,c
ERR1103345,16.9663,200,36.3932,-19.8675,24.3958,c
ERR1103346,19.8147,20,36.8864,-17.312,26.3482,c
ERR1103347,18.8055,70,36.8055,-17.312,26.3482,c
ERR1103348,18.5791,100,36.817,-17.312,26.3482,c
ERR1103349,17.3808,200,36.5829,-17.312,26.3482,c
ERR1103350,17.7496,20,36.6019,-13.5343,33.3978,c
ERR1103351,17.4828,40,36.5778,-13.5343,33.3978,c
ERR1103352,17.4019,60,36.5714,-13.5343,33.3978,c
ERR1103353,17.0855,85,36.5151,-13.5343,33.3978,c
ERR1103354,15.0648,200,36.1523,-13.5343,33.3978,c
ERR1103355,17.9629,20,36.5965,-12.8973,35.2387,c
ERR1103356,17.7136,40,36.5965,-12.8973,35.2387,c
ERR1103357,17.5229,55,36.5745,-12.8973,35.2387,c
ERR1103358,16.6938,100,36.4127,-12.8973,35.2387,c
ERR1103359,14.5742,200,36.0059,-12.8973,35.2387,c
ERR1103360,16.3227,20,36.3022,-12.6088,38.745,c
ERR1103361,16.0821,44,36.3946,-12.6088,38.745,c
ERR1103362,16.0203,60,36.388,-12.6088,38.745,c
ERR1103363,15.4726,100,36.3033,-12.6088,38.745,c
ERR1103364,14.793,200,36.1697,-12.6088,38.745,c
ERR1103365,13.7473,20,35.7863,-10.935,43.0423,c
ERR1103366,13.6847,40,35.7866,-10.935,43.0423,c
ERR1103367,12.8448,60,35.7579,-10.935,43.0423,c
ERR1103368,12.8585,100,35.8014,-10.935,43.0423,c
ERR1103369,12.2685,200,35.7122,-10.935,43.0423,c
ERR1103370,12.582,20,35.6486,-8.0905,47.0438,c
ERR1103371,12.4765,40,35.6494,-8.0905,47.0438,c
ERR1103372,11.9942,60,35.6758,-8.0905,47.0438,c
ERR1103373,11.9942,100,35.6787,-8.0905,47.0438,c
ERR1103374,11.8041,200,35.6533,-8.0905,47.0438,c
